Rank,Project,Ticker,Total Raise,Type,Ended Date,Decision,Basis
1,Vaulta (prev. EOS),EOS,$4.25B,ICO,2018-06-26,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English ICO-era white paper is publicly obtainable.
6,Celsius,CEL,$908.10M,ICO,2018-03-22,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English white paper is publicly obtainable.
7,Flow,FLOW,$746.50M,ICO,2020-10-05,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English technical white paper is publicly obtainable.
11,Avalanche,AVAX,$577.70M,ICO,2020-07-15,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English white paper is publicly obtainable.
20,Dragon Coins,DRG,$320.00M,ICO,2018-03-15,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English crowd-sale white paper is publicly obtainable.
27,SIRIN LABS,SRN,$254.88M,ICO,2017-12-26,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English white paper is publicly obtainable.
29,Filecoin,FIL,$205.92M,ICO,2017-09-08,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; ICO-era English white paper is publicly obtainable.
32,Republic,NOTE,$202.00M,ICO,2020-08-05,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English Republic Note white paper is publicly obtainable.
40,MobileGo,MGO,$159.13M,ICO,2017-05-25,Include,Type is recorded solely as ICO in the attached CryptoRank list; ICO completed before 31 Dec 2023; English white paper is publicly obtainable from public repositories.
44,Bankera,BNK,$153.77M,ICO,2018-03-01,Include,Type is recorded solely as ICO in the attached CryptoRank list; completion date is externally confirmable before 31 Dec 2023; English white paper is publicly obtainable.
45,Bancor,BNT,$153.00M,ICO,2017-06-11,Include,Type is recorded solely as ICO in the attached CryptoRank list; completion date is externally confirmable before 31 Dec 2023; English ICO-era white paper is publicly obtainable.
